Symbol,Sector,Industry,Cap_Class
MAZDA,Capital Goods,Industrial Products,Small Cap
MAZDOCK,Capital Goods,Ship Building & Allied Services,Large Cap
MBAPL,Chemicals,Fertilizers,Small Cap
MBEL,industrials,engineering - turnkey services,Small Cap
MBLINFRA,Construction,Civil Construction,Small Cap
MCL,Metals & Mining,Industrial Minerals,Small Cap
MCLEODRUSS,FMCG,Tea & Coffee,Small Cap
MCX,Financial Services,Exchange and Data Platform,Large Cap
MEDANTA,Healthcare,Hospital,Large Cap
MEDIASSIST,Financial Services,Insurance Distributors,Small Cap
MEDICAMEQ,Healthcare,Pharmaceuticals,Small Cap
MEDICO,Healthcare,Pharmaceuticals,Small Cap
MEDPLUS,Consumer Services,Pharmacy Retail,Mid Cap
MEESHO,Information Technology,miscellaneous,Large Cap
MEGASOFT,Telecommunication,Other Telecom Services,Small Cap
MEGASTAR,FMCG,Other Food Products,Small Cap
MEIL,industrials,electric equipment,Small Cap
MENONBE,Automobile and Auto Components,Auto Components & Equipments,Small Cap
METROBRAND,Consumer Durables,Footwear,Large Cap
METROPOLIS,Healthcare,Healthcare Service Provider,Mid Cap
MFSL,Financial Services,Life Insurance,Large Cap
MGL,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,Mid Cap
MHLXMIRU,Textiles,Other Textile Products,Small Cap
MHRIL,Consumer Services,Hotels & Resorts,Small Cap
MICEL,Capital Goods,Industrial Products,Small Cap
MIDHANI,Capital Goods,Aerospace & Defense,Mid Cap
MIDWESTLTD,miscellaneous,miscellaneous,Small Cap
MINDACORP,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
MINDTECK,Information Technology,Computers - Software & Consulting,Small Cap
MIRCELECTR,Consumer Durables,Consumer Electronics,Small Cap
MIRZAINT,Consumer Durables,Leather And Leather Products,Small Cap
MITCON,Services,Diversified Commercial Services,Small Cap
MMFL,Automobile and Auto Components,Auto Components & Equipments,Small Cap
MMP,Metals & Mining,Aluminium,Small Cap
MMTC,Services,Trading & Distributors,Mid Cap
MOBIKWIK,Information Technology,miscellaneous,Small Cap
MODIRUBBER,Automobile and Auto Components,Tyres & Rubber Products,Small Cap
MODIS,Realty,construction,Small Cap
MODISONLTD,Capital Goods,Other Electrical Equipment,Small Cap
MODTHREAD,Textiles,Other Textile Products,Small Cap
MOIL,Metals & Mining,Industrial Minerals,Mid Cap
MOL,Chemicals,Pesticides & Agrochemicals,Small Cap
MOLDTECH,Information Technology,IT Enabled Services,Small Cap
MOLDTKPAC,Capital Goods,Packaging,Small Cap
MONARCH,Financial Services,Stockbroking & Allied,Small Cap
MONEYBOXX,Financial Services,Financial Institution,Small Cap
MONTECARLO,Textiles,Garments & Apparels,Small Cap
MOREPENLAB,Healthcare,Pharmaceuticals,Small Cap
MOSCHIP,Information Technology,computers - hardware,Small Cap
MOTHERSON,Automobile and Auto Components,Auto Components & Equipments,Large Cap
MOTILALOFS,Financial Services,Stockbroking & Allied,Large Cap
MPHASIS,Information Technology,Computers - Software & Consulting,Large Cap
MPSLTD,Consumer Services,E-Learning,Small Cap
MRF,Automobile and Auto Components,Tyres & Rubber Products,Large Cap
MRPL,"Oil, Gas & Consumable Fuels",Refineries & Marketing,Large Cap
MSPL,Capital Goods,Iron & Steel Products,Small Cap
MSTCLTD,Services,Trading & Distributors,Small Cap
MSUMI,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
MTARTECH,Capital Goods,Aerospace & Defense,Mid Cap
MTNL,Telecommunication,Telecom - Cellular & Fixed line service,Small Cap
MUFIN,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MUFTI,Consumer Services,Speciality Retail,Small Cap
MUKANDLTD,Metals & Mining,Iron & Steel,Small Cap
MUKTAARTS,"Media, Entertainment & Publication","Film Production, Distribution & Exhibit",Small Cap
MUNJALAU,Automobile and Auto Components,Auto Components & Equipments,Small Cap
MUNJALSHOW,Automobile and Auto Components,Auto Components & Equipments,Small Cap
MURUDCERA,Consumer Durables,Ceramics,Small Cap
MUTHOOTCAP,Financial Services,Non Banking Financial Company (NBFC),Small Cap
MUTHOOTFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
MUTHOOTMF,Financial Services,Microfinance Institutions,Small Cap
MVGJL,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
MWL,Metals & Mining,Iron & Steel,Small Cap
NACLIND,Chemicals,Pesticides & Agrochemicals,Small Cap
NAGREEKCAP,Financial Services,Investment Company,Small Cap
NAHARCAP,Financial Services,Investment Company,Small Cap
NAHARINDUS,Textiles,Other Textile Products,Small Cap
NAHARPOLY,Capital Goods,Packaging,Small Cap
NAHARSPING,Textiles,Other Textile Products,Small Cap
NAM-INDIA,Financial Services,Asset Management Company,Large Cap
NARMADA,FMCG,Animal Feed,Small Cap
NATCAPSUQ,Financial ServHealthcareices,pharmaceuticals - indian - bulk drugs & formln,Small Cap
NATCOPHARM,Healthcare,Pharmaceuticals,Mid Cap
NATHBIOGEN,FMCG,Other Agricultural Products,Small Cap
NATIONALUM,Metals & Mining,Aluminium,Large Cap
NAUKRI,Consumer Services,Internet & Catalogue Retail,Large Cap
NAVA,Power,Power Generation,Mid Cap
NAVINFLUOR,Chemicals,Specialty Chemicals,Large Cap
NAVKARCORP,Services,Logistics Solution Provider,Small Cap
NAVNETEDUL,"Media, Entertainment & Publication",Printing & Publication,Small Cap
NAZARA,"Media, Entertainment & Publication",Digital Entertainment,Mid Cap
NBCC,Construction,Civil Construction,Large Cap
NBIFIN,Financial Services,Non Banking Financial Company (NBFC),Small Cap
NCC,Construction,Civil Construction,Mid Cap
NCLIND,Construction Materials,Cement & Cement Products,Small Cap
NDGL,Financial Services,Non Banking Financial Company (NBFC),Small Cap
NDLVENTURE,Financial Services,Other Financial Services,Small Cap
NDRAUTO,Automobile and Auto Components,Auto Components & Equipments,Small Cap
NDTV,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Small Cap
NELCAST,Capital Goods,Castings & Forgings,Small Cap
NELCO,Information Technology,Computers Hardware & Equipments,Small Cap
NEOGEN,Chemicals,Specialty Chemicals,Small Cap
NEPHROPLUS,Financial ServHealthcareices,healthcare,Mid Cap
NESCO,Services,Diversified Commercial Services,Mid Cap
NESTLEIND,FMCG,Packaged Foods,Large Cap
NETWEB,Information Technology,Computers Hardware & Equipments,Mid Cap
NETWORK18,"Media, Entertainment & Publication",Media & Entertainment,Small Cap
NEULANDLAB,Healthcare,Pharmaceuticals,Mid Cap
NEWGEN,Information Technology,Computers - Software & Consulting,Mid Cap
NFL,Chemicals,Fertilizers,Small Cap
NGIL,FMCG,Packaged Foods,Small Cap
NGLFINE,Healthcare,Pharmaceuticals,Small Cap
NH,Healthcare,Hospital,Large Cap
NHPC,Power,Power Generation,Large Cap
NIACL,Financial Services,General Insurance,Large Cap
NIBE,aerospace & defence,engineering,Small Cap
NIBL,Capital Goods,Abrasives & Bearings,Small Cap
NIITLTD,Consumer Services,Education,Small Cap
NIITMTS,Consumer Services,Education,Small Cap
NILKAMAL,Consumer Durables,Plastic Products - Consumer,Small Cap
NINSYS,Information Technology,Computers - Software & Consulting,Small Cap
NIPPOBATRY,FMCG,Household Products,Small Cap
NIRAJ,Construction,Civil Construction,Small Cap
NIRAJISPAT,Capital Goods,Plastic Products - Industrial,Small Cap
NITCO,Consumer Durables,Ceramics,Small Cap
NITINSPIN,Textiles,Other Textile Products,Small Cap
NITIRAJ,Capital Goods,Electrodes & Refractories,Small Cap
NIVABUPA,Financial Services,Life Insurance,Mid Cap
NKIND,FMCG,Edible Oil,Small Cap
NLCINDIA,Power,Power Generation,Large Cap
NMDC,Metals & Mining,Industrial Minerals,Large Cap
NOCIL,Chemicals,Specialty Chemicals,Small Cap
NORBTEAEXP,FMCG,Tea & Coffee,Small Cap
NORTHARC,Financial Services,Non Banking Financial Company (NBFC),Small Cap
NOVAAGRI,Chemicals,Fertilizers,Small Cap
NPST,Information Technology,Software Products,Small Cap
NRAIL,Forest Materials,Paper & Paper Products,Small Cap
NRBBEARING,Automobile and Auto Components,Auto Components & Equipments,Small Cap
NRL,Services,Diversified Commercial Services,Small Cap
NSIL,Financial Services,Non Banking Financial Company (NBFC),Small Cap
NSLNISP,Metals & Mining,Iron & Steel,Mid Cap
NTPC,Power,Power Generation,Large Cap
NTPCGREEN,Power,Power Generation,Large Cap
NUCLEUS,Information Technology,Software Products,Small Cap
NURECA,Healthcare,Medical Equipment & Supplies,Small Cap
NUVAMA,Financial Services,Stockbroking & Allied,Large Cap
NUVOCO,Construction Materials,Cement & Cement Products,Mid Cap
NYKAA,Consumer Services,E-Retail/ E-Commerce,Large Cap
OAL,Chemicals,Specialty Chemicals,Small Cap
OBCL,Services,Logistics Solution Provider,Small Cap
OBEROIRLTY,Realty,"Residential, Commercial Projects",Large Cap
OCCLLTD,Chemicals,Commodity Chemicals,Small Cap
ODIGMA,Diversified,Diversified,Small Cap
OFSS,Information Technology,Software Products,Large Cap
OIL,"Oil, Gas & Consumable Fuels",Oil Exploration & Production,Large Cap
OILCOUNTUB,"Oil, Gas & Consumable Fuels",Oil Equipment & Services,Small Cap
OLAELEC,Automobile and Auto Components,2/3 Wheelers,Mid Cap
OLECTRA,Automobile and Auto Components,Passenger Cars & Utility Vehicles,Mid Cap
OMAXAUTO,Automobile and Auto Components,Auto Components & Equipments,Small Cap
OMAXE,Realty,"Residential, Commercial Projects",Small Cap
OMFREIGHT,transportation,miscellaneous,Small Cap
OMINFRAL,Construction,Civil Construction,Small Cap
ONEPOINT,Information Technology,IT Enabled Services,Small Cap
ONESOURCE,Financial ServHealthcareices,pharmaceuticals - indian - bulk drugs & formln,Mid Cap
ONGC,"Oil, Gas & Consumable Fuels",Oil Exploration & Production,Large Cap
ONMOBILE,Telecommunication,Other Telecom Services,Small Cap
ONWARDTEC,Information Technology,IT Enabled Services,Small Cap
OPTIEMUS,Telecommunication,Telecom - Equipment & Accessories,Small Cap
ORBTEXP,Textiles,Other Textile Products,Small Cap
ORCHPHARMA,Healthcare,Pharmaceuticals,Small Cap
ORICONENT,Capital Goods,Packaging,Small Cap
ORIENTBELL,Consumer Durables,Ceramics,Small Cap
ORIENTCEM,Construction Materials,Cement & Cement Products,Small Cap
ORIENTCER,Capital Goods,Electrodes & Refractories,Small Cap
ORIENTELEC,Consumer Durables,Household Appliances,Small Cap
ORIENTHOT,Consumer Services,Hotels & Resorts,Small Cap
ORIENTLTD,Capital Goods,Packaging,Small Cap
ORIENTTECH,Information Technology,IT Enabled Services,Small Cap
ORISSAMINE,Metals & Mining,Industrial Minerals,Small Cap
ORKLAINDIA,FMCG,food - processing - indian,Mid Cap
OSWALAGRO,Services,Trading & Distributors,Small Cap
OSWALGREEN,Realty,"Residential, Commercial Projects",Small Cap
OSWALPUMPS,industrials,pumps,Small Cap
PACEDIGITK,Telecommunication,engineering - turnkey services,Small Cap
PAGEIND,Textiles,Garments & Apparels,Large Cap
PAISALO,Financial Services,Non Banking Financial Company (NBFC),Small Cap
PAKKA,Forest Materials,Paper & Paper Products,Small Cap
PALASHSECU,FMCG,Packaged Foods,Small Cap
PALREDTEC,Information Technology,IT Enabled Services,Small Cap
PANACEABIO,Healthcare,Pharmaceuticals,Small Cap
PANAMAPET,"Oil, Gas & Consumable Fuels",Lubricants,Small Cap
PAR,Chemicals,Specialty Chemicals,Small Cap
PARACABLES,Capital Goods,Cables - Electricals,Small Cap
PARADEEP,Chemicals,Fertilizers,Mid Cap
PARAGMILK,FMCG,Dairy Products,Small Cap
PARAS,Capital Goods,Aerospace & Defense,Mid Cap
PARKHOSPS,Financial ServHealthcareices,healthcare,Mid Cap
PARKHOTELS,Consumer Services,Hotels & Resorts,Small Cap
PASUPTAC,Chemicals,Petrochemicals,Small Cap
PATANJALI,FMCG,Edible Oil,Mid Cap
PATELENG,Construction,Civil Construction,Small Cap
PATELRMART,consumer discretionary,trading,Small Cap
PAUSHAKLTD,Chemicals,chemicals,Small Cap
PAYTM,Financial Services,Financial Technology (Fintech),Large Cap
PCBL,Chemicals,Carbon Black,Mid Cap
PDMJEPAPER,Forest Materials,Paper & Paper Products,Small Cap
PDSL,Textiles,Trading - Textile Products,Small Cap
PENIND,Capital Goods,Industrial Products,Small Cap
PERSISTENT,Information Technology,Computers - Software & Consulting,Large Cap
PETRONET,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,Large Cap
PFC,Financial Services,Financial Institution,Large Cap
PFIZER,Healthcare,Pharmaceuticals,Large Cap
PFOCUS,"Media, Entertainment & Publication",Media & Entertainment,Large Cap
PFS,Financial Services,Non Banking Financial Company (NBFC),Small Cap
PGEL,Consumer Durables,Consumer Electronics,Mid Cap
PGHH,FMCG,Personal Care,Large Cap
PGHL,Healthcare,Pharmaceuticals,Mid Cap
PGIL,Textiles,Garments & Apparels,Mid Cap
PHOENIXLTD,Realty,"Residential, Commercial Projects",Large Cap
PICCADIL,FMCG,Breweries & Distilleries,Mid Cap
PIDILITIND,Chemicals,Specialty Chemicals,Large Cap
PIGL,Capital Goods,Other Electrical Equipment,Small Cap
PIIND,Chemicals,Pesticides & Agrochemicals,Large Cap
PILANIINVS,Financial Services,Holding Company,Small Cap
PINELABS,Information Technology,computers - software - medium / small,Mid Cap
PIONEEREMB,Textiles,Other Textile Products,Small Cap
PIRAMALFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
PITTIENG,Capital Goods,Industrial Products,Small Cap
PIXTRANS,Capital Goods,Rubber,Small Cap
PKTEA,FMCG,Tea & Coffee,Small Cap
PLASTIBLEN,Chemicals,Specialty Chemicals,Small Cap
PLATIND,Chemicals,Specialty Chemicals,Small Cap
PLAZACABLE,Capital Goods,Cables - Electricals,Small Cap
PNB,Financial Services,Public Sector Bank,Large Cap
PNBGILTS,Financial Services,Investment Company,Small Cap
PNBHOUSING,Financial Services,Housing Finance Company,Large Cap
PNCINFRA,Construction,Civil Construction,Small Cap
PNGJL,Consumer Durables,Gems- Jewellery And Watches,Mid Cap
POCL,Metals & Mining,Diversified Metals,Small Cap
PODDARMENT,Chemicals,Dyes And Pigments,Small Cap
POKARNA,Consumer Durables,Granites & Marbles,Small Cap
POLICYBZR,Financial Services,Financial Technology (Fintech),Large Cap
POLYCAB,Capital Goods,Cables - Electricals,Large Cap
POLYMED,Healthcare,Medical Equipment & Supplies,Mid Cap
POLYPLEX,Capital Goods,Packaging,Small Cap
PONNIERODE,FMCG,Sugar,Small Cap
POONAWALLA,Financial Services,Non Banking Financial Company (NBFC),Large Cap
POWERGRID,Power,Power - Transmission,Large Cap
POWERINDIA,Capital Goods,Heavy Electrical Equipment,Large Cap
POWERMECH,Construction,Civil Construction,Mid Cap
PPAP,Automobile and Auto Components,Auto Components & Equipments,Small Cap
PPL,Capital Goods,Plastic Products - Industrial,Small Cap
PPLPHARMA,Healthcare,Pharmaceuticals,Mid Cap
PRABHA,energy,oil drilling / allied services,Small Cap
PRAJIND,Capital Goods,Industrial Products,Mid Cap
PRAKASH,Metals & Mining,Iron & Steel,Small Cap
PRECAM,Automobile and Auto Components,Auto Components & Equipments,Small Cap
PRECOT,Textiles,Other Textile Products,Small Cap
PRECWIRE,Capital Goods,"Aluminium, Copper & Zinc Products",Mid Cap
PREMEXPLN,Chemicals,Explosives,Small Cap
PREMIERENE,Capital Goods,Other Electrical Equipment,Large Cap
PREMIERPOL,Capital Goods,Plastic Products - Industrial,Small Cap
PRESTIGE,Realty,"Residential, Commercial Projects",Large Cap
PRICOLLTD,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
PRIMESECU,Financial Services,Other Financial Services,Small Cap
PRINCEPIPE,Capital Goods,Plastic Products - Industrial,Small Cap
PRITI,Consumer Durables,Plywood Boards/ Laminates,Small Cap
PRIVISCL,Chemicals,Specialty Chemicals,Mid Cap
PROSTARM,industrials,electric equipment,Small Cap
PROTEAN,Information Technology,computers - software - medium / small,Small Cap
PROZONER,Realty,"Residential, Commercial Projects",Small Cap
PRSMJOHNSN,Construction Materials,Cement & Cement Products,Mid Cap
PRUDENT,Financial Services,Financial Products Distributor,Mid Cap
PSB,Financial Services,Public Sector Bank,Mid Cap
PSPPROJECT,Construction,Civil Construction,Small Cap
PTC,Power,Power Trading,Small Cap
PTCIL,Capital Goods,Other Industrial Products,Large Cap
PTL,Services,Diversified Commercial Services,Small Cap
PUNJABCHEM,Chemicals,Pesticides & Agrochemicals,Small Cap
PURVA,Realty,"Residential, Commercial Projects",Small Cap
PVP,Realty,"Residential, Commercial Projects",Small Cap
PVRINOX,"Media, Entertainment & Publication","Film Production, Distribution & Exhibit",Mid Cap
PVSL,Automobile and Auto Components,Auto -Dealer,Small Cap
PWL,Services,miscellaneous,Large Cap
PYRAMID,Capital Goods,Packaging,Small Cap
QPOWER,industrials,electric equipment,Mid Cap
QUADFUTURE,industrials,cables - power,Small Cap
QUESS,Services,Diversified Commercial Services,Small Cap
QUICKHEAL,Information Technology,Software Products,Small Cap
RACE,Utilities,Waste Management,Small Cap
RACLGEAR,Automobile and Auto Components,Auto Components & Equipments,Small Cap
RADHIKAJWE,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
RADIANTCMS,Services,Diversified Commercial Services,Small Cap
RADICO,FMCG,Breweries & Distilleries,Large Cap
RAILTEL,Telecommunication,Other Telecom Services,Mid Cap
RAIN,Chemicals,Petrochemicals,Small Cap
RAINBOW,Healthcare,Hospital,Mid Cap
RAJESHEXPO,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
RAJOOENG,industrials,engineering,Small Cap
RAJRATAN,Automobile and Auto Components,Auto Components & Equipments,Small Cap
RAJSREESUG,FMCG,Sugar,Small Cap
RAJTV,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Small Cap
RALLIS,Chemicals,Pesticides & Agrochemicals,Small Cap
RAMANEWS,Forest Materials,Paper & Paper Products,Small Cap
RAMAPHO,Chemicals,Fertilizers,Small Cap
RAMCOCEM,Construction Materials,Cement & Cement Products,Large Cap
RAMCOIND,Construction Materials,Other Construction Materials,Small Cap
RAMCOSYS,Information Technology,Software Products,Small Cap
RAMKY,Construction,Civil Construction,Small Cap
RAMRAT,Capital Goods,Other Electrical Equipment,Small Cap
RANEHOLDIN,Financial Services,Holding Company,Small Cap
RATEGAIN,Information Technology,Computers - Software & Consulting,Mid Cap
RATNAMANI,Capital Goods,Iron & Steel Products,Mid Cap
RATNAVEER,Capital Goods,Iron & Steel Products,Small Cap
RAYMOND,Realty,"Residential, Commercial Projects",Small Cap
RAYMONDLSL,Textiles,Garments & Apparels,Small Cap
RAYMONDREL,Realty,construction,Small Cap
RBA,Consumer Services,Restaurants,Small Cap
RBLBANK,Financial Services,Private Sector Bank,Mid Cap
RBZJEWEL,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
RCF,Chemicals,Fertilizers,Mid Cap
RECLTD,Financial Services,Financial Institution,Large Cap
REDINGTON,Services,Trading & Distributors,Mid Cap
REDTAPE,Consumer Durables,Footwear,Mid Cap
REFEX,Chemicals,Industrial Gases,Small Cap
REGAAL,miscellaneous,miscellaneous,Small Cap
REGENCERAM,Consumer Durables,Ceramics,Small Cap
RELAXO,Consumer Durables,Footwear,Mid Cap
RELCHEMQ,Textiles,Other Textile Products,Small Cap
RELIABLE,Financial Services,Other Financial Services,Small Cap
RELIANCE,"Oil, Gas & Consumable Fuels",Refineries & Marketing,Large Cap
RELIGARE,Financial Services,Investment Company,Mid Cap
RELTD,Services,Trading & Distributors,Small Cap
REMSONSIND,Automobile and Auto Components,Auto Components & Equipments,Small Cap
RENUKA,FMCG,Sugar,Mid Cap
REPCOHOME,Financial Services,Housing Finance Company,Small Cap
REPL,Construction,Civil Construction,Small Cap
REPRO,"Media, Entertainment & Publication",Printing & Publication,Small Cap
RESPONIND,Consumer Durables,"Furniture, Home Furnishing",Small Cap
RETAIL,Consumer Services,Diversified Retail,Small Cap
RGL,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
RHETAN,Metals & Mining,steel - medium / small,Small Cap
RHIM,Capital Goods,Electrodes & Refractories,Mid Cap
RHL,Consumer Services,Hotels & Resorts,Small Cap
RICOAUTO,Automobile and Auto Components,Auto Components & Equipments,Small Cap
RIIL,Services,Logistics Solution Provider,Small Cap
RISHABH,Capital Goods,Other Electrical Equipment,Small Cap
RITCO,Services,Logistics Solution Provider,Small Cap
RITES,Construction,Civil Construction,Mid Cap
RKEC,Construction,Civil Construction,Small Cap
RKFORGE,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
RKSWAMY,"Media, Entertainment & Publication",Advertising & Media Agencies,Small Cap
RMDRIP,Capital Goods,Plastic Products - Industrial,Small Cap
RML,Automobile and Auto Components,Auto Components & Equipments,Small Cap
RNBDENIMS,Textiles,textiles - cotton/blended,Small Cap
ROHLTD,Consumer Services,Hotels & Resorts,Small Cap
ROLEXRINGS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
ROML,FMCG,Edible Oil,Small Cap
ROSSARI,Chemicals,Specialty Chemicals,Small Cap
ROSSELLIND,Capital Goods,Aerospace & Defense,Small Cap
ROSSTECH,Capital Goods,Aerospace & Defense,Small Cap
ROTO,Capital Goods,"Compressors, Pumps & Diesel Engines",Small Cap
ROUTE,Telecommunication,Other Telecom Services,Small Cap
RPEL,Capital Goods,Electrodes & Refractories,Small Cap
RPGLIFE,Healthcare,Pharmaceuticals,Small Cap
RPOWER,Power,Power Generation,Mid Cap
RPPINFRA,Construction,Civil Construction,Small Cap
RPSGVENT,Services,Business Process Outsourcing (BPO)/ Kno,Small Cap
RPTECH,Information Technology,Computers Hardware & Equipments,Small Cap
RRKABEL,Capital Goods,Cables - Electricals,Mid Cap
RSSOFTWARE,Information Technology,Computers - Software & Consulting,Small Cap
RSWM,Textiles,Other Textile Products,Small Cap
RSYSTEMS,Information Technology,IT Enabled Services,Small Cap
RTNINDIA,Consumer Services,E-Retail/ E-Commerce,Small Cap
RUBFILA,Capital Goods,Rubber,Small Cap
RUBICON,Financial ServHealthcareices,pharmaceuticals - indian - formulations,Mid Cap
RUBYMILLS,Textiles,Other Textile Products,Small Cap
RUCHIRA,Forest Materials,Paper & Paper Products,Small Cap
RUPA,Textiles,Garments & Apparels,Small Cap
RUSTOMJEE,Realty,"Residential, Commercial Projects",Small Cap
RVHL,Realty,"Residential, Commercial Projects",Small Cap
RVNL,Construction,Civil Construction,Large Cap
RVTH,Capital Goods,Heavy Electrical Equipment,Small Cap
S&SPOWER,Capital Goods,Other Electrical Equipment,Small Cap
SAATVIKGL,industrials,electric equipment,Small Cap
SAFARI,Consumer Durables,Plastic Products - Consumer,Mid Cap
SAGARDEEP,Metals & Mining,Copper,Small Cap
SAGCEM,Construction Materials,Cement & Cement Products,Small Cap
SAGILITY,Diversified,Diversified,Mid Cap
SAHYADRI,Construction Materials,Cement & Cement Products,Small Cap
SAIL,Metals & Mining,Iron & Steel,Large Cap
SAILIFE,Financial ServHealthcareices,pharmaceuticals - indian - formulations,Large Cap
SAKAR,Healthcare,Pharmaceuticals,Small Cap
SAKSOFT,Information Technology,Computers - Software & Consulting,Small Cap
SALONA,Textiles,Other Textile Products,Small Cap
SALSTEEL,Metals & Mining,Sponge Iron,Small Cap
SALZERELEC,Capital Goods,Other Electrical Equipment,Small Cap
SAMBHV,Metals & Mining,steel - medium / small,Small Cap
SAMHI,Consumer Services,Hotels & Resorts,Small Cap
SAMMAANCAP,Financial Services,Housing Finance Company,Mid Cap
SAMPANN,Capital Goods,Rubber,Small Cap
SANATHAN,Textiles,textiles - cotton/blended,Small Cap
SANDHAR,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SANDUMA,"Oil, Gas & Consumable Fuels",Coal,Mid Cap
SANGAMIND,Textiles,Other Textile Products,Small Cap
SANGHIIND,Construction Materials,Cement & Cement Products,Small Cap
SANGHVIMOV,Capital Goods,Construction Vehicles,Small Cap
SANOFI,Healthcare,Pharmaceuticals,Mid Cap
SANOFICONR,Healthcare,Pharmaceuticals,Mid Cap
SANSERA,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
SANSTAR,FMCG,Other Agricultural Products,Small Cap
SAPPHIRE,Consumer Services,Restaurants,Mid Cap
SARDAEN,Metals & Mining,Iron & Steel,Mid Cap
SAREGAMA,"Media, Entertainment & Publication",Media & Entertainment,Mid Cap
SARLAPOLY,Textiles,Other Textile Products,Small Cap
SASKEN,Information Technology,IT Enabled Services,Small Cap
SASTASUNDR,Healthcare,Healthcare Service Provider,Small Cap
SATIA,Forest Materials,Paper & Paper Products,Small Cap
SATIN,Financial Services,Microfinance Institutions,Small Cap
SAURASHCEM,Construction Materials,Cement & Cement Products,Small Cap
SBC,Textiles,Garments & Apparels,Small Cap
SBCL,Capital Goods,Iron & Steel Products,Small Cap
SBFC,Financial Services,Non Banking Financial Company (NBFC),Mid Cap
SBGLP,Realty,"Residential, Commercial Projects",Small Cap
SBICARD,Financial Services,Non Banking Financial Company (NBFC),Large Cap
SBILIFE,Financial Services,Life Insurance,Large Cap
SBIN,Financial Services,Public Sector Bank,Large Cap
SCHAEFFLER,Automobile and Auto Components,Auto Components & Equipments,Large Cap
SCHAND,"Media, Entertainment & Publication",Printing & Publication,Small Cap
SCHNEIDER,Capital Goods,Heavy Electrical Equipment,Large Cap
SCI,Services,Shipping,Mid Cap
SCILAL,Financial Services,Investment Company,Small Cap
SCODATUBES,Metals & Mining,steel - medium / small,Small Cap
SCPL,FMCG,Dairy Products,Small Cap
SDBL,FMCG,Breweries & Distilleries,Small Cap
SEAMECLTD,Services,Shipping,Small Cap
SECMARK,Information Technology,Computers - Software & Consulting,Small Cap
SELMC,Textiles,Other Textile Products,Small Cap
SEMAC,Construction,Civil Construction,Small Cap
SENCO,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
SENORES,Financial ServHealthcareices,pharmaceuticals - indian - formulations,Small Cap
SERVOTECH,Capital Goods,Heavy Electrical Equipment,Small Cap
SESHAPAPER,Forest Materials,Paper & Paper Products,Small Cap
SFL,Consumer Durables,"Furniture, Home Furnishing",Mid Cap
SGFIN,Financial Services,Financial Institution,Small Cap
SGIL,Capital Goods,Castings & Forgings,Small Cap
SGMART,Services,trading,Mid Cap
SHAHALLOYS,Capital Goods,Iron & Steel Products,Small Cap
SHAILY,Capital Goods,Plastic Products - Industrial,Mid Cap
SHAKTIPUMP,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
SHALBY,Healthcare,Hospital,Small Cap
SHALPAINTS,Consumer Durables,Paints,Small Cap
SHANKARA,Consumer Services,Speciality Retail,Small Cap
SHANTIGEAR,Capital Goods,Industrial Products,Small Cap
SHANTIGOLD,consumer discretionary,diamond cutting / jewellery,Small Cap
SHARDACROP,Chemicals,Pesticides & Agrochemicals,Mid Cap
SHARDAMOTR,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SHAREINDIA,Financial Services,Stockbroking & Allied,Small Cap
SHEMAROO,"Media, Entertainment & Publication",Media & Entertainment,Small Cap
SHILCTECH,industrials,electric equipment,Small Cap
SHILPAMED,Healthcare,Pharmaceuticals,Mid Cap
SHIVALIK,Chemicals,Pesticides & Agrochemicals,Small Cap
SHIVAMILLS,Textiles,Other Textile Products,Small Cap
SHIVATEX,Textiles,Other Textile Products,Small Cap
SHK,Chemicals,Specialty Chemicals,Small Cap
SHOPERSTOP,Consumer Services,Diversified Retail,Small Cap
SHRADHA,Realty,"Residential, Commercial Projects",Small Cap
SHREDIGCEM,Construction Materials,Cement & Cement Products,Small Cap
SHREECEM,Construction Materials,Cement & Cement Products,Large Cap
SHREEJISPG,transportation,miscellaneous,Mid Cap
SHREEPUSHK,Chemicals,Dyes And Pigments,Small Cap
SHREERAMA,Capital Goods,Packaging,Small Cap
