Symbol,Sector,Industry,Cap_Class
HONAUT,Capital Goods,Industrial Products,Large Cap
HONDAPOWER,Capital Goods,Industrial Products,Small Cap
HPAL,Chemicals,Specialty Chemicals,Small Cap
HPIL,Chemicals,Dyes And Pigments,Small Cap
HPL,Consumer Durables,Consumer Electronics,Small Cap
HSCL,Chemicals,Specialty Chemicals,Large Cap
HUBTOWN,Realty,"Residential, Commercial Projects",Small Cap
HUDCO,Financial Services,Financial Institution,Large Cap
HUHTAMAKI,Capital Goods,Packaging,Small Cap
HYUNDAI,Automobile and Auto Components,Passenger Cars & Utility Vehicles,Large Cap
ICDSLTD,Services,Diversified Commercial Services,Small Cap
ICEMAKE,Consumer Durables,Household Appliances,Small Cap
ICICIAMC,Financial Services,Financial Institution,Large Cap
ICICIBANK,Financial Services,Private Sector Bank,Mid Cap
ICICIGI,Financial Services,General Insurance,Large Cap
ICICIPRULI,Financial Services,Life Insurance,Large Cap
ICIL,Textiles,Other Textile Products,Small Cap
ICRA,Financial Services,Ratings,Small Cap
IDBI,Financial Services,Private Sector Bank,Large Cap
IDEAFORGE,Capital Goods,Aerospace & Defense,Small Cap
IDFCFIRSTB,Financial Services,Private Sector Bank,Large Cap
IEX,Financial Services,Exchange and Data Platform,Mid Cap
IFBAGRO,FMCG,Breweries & Distilleries,Small Cap
IFBIND,Consumer Durables,Household Appliances,Small Cap
IFCI,Financial Services,Financial Institution,Mid Cap
IFGLEXPOR,Capital Goods,Electrodes & Refractories,Small Cap
IGARASHI,Automobile and Auto Components,Auto Components & Equipments,Small Cap
IGCL,Chemicals,pesticides / agrochemicals - indian,Small Cap
IGIL,miscellaneous,miscellaneous,Mid Cap
IGL,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,Large Cap
IGPL,Chemicals,Commodity Chemicals,Small Cap
IIFL,Financial Services,Non Banking Financial Company (NBFC),Mid Cap
IIFLCAPS,Financial Services,Stockbroking & Allied,Mid Cap
IITL,Financial Services,Non Banking Financial Company (NBFC),Small Cap
IKIO,Consumer Durables,Consumer Electronics,Small Cap
IKS,Information Technology,computers - software - medium / small,Large Cap
IMAGICAA,Consumer Services,Amusement Parks/ Other Recreation,Small Cap
IMFA,Metals & Mining,Ferro & Silica Manganese,Mid Cap
IMPAL,Automobile and Auto Components,Trading - Auto Components,Small Cap
INCREDIBLE,Capital Goods,Iron & Steel Products,Small Cap
INDBANK,Financial Services,Stockbroking & Allied,Small Cap
INDGN,Healthcare,"Healthcare Research, Analytics & Techno",Mid Cap
INDHOTEL,Consumer Services,Hotels & Resorts,Large Cap
INDIACEM,Construction Materials,Cement & Cement Products,Mid Cap
INDIAGLYCO,Chemicals,Commodity Chemicals,Mid Cap
INDIAMART,Consumer Services,Internet & Catalogue Retail,Mid Cap
INDIANB,Financial Services,Public Sector Bank,Large Cap
INDIANCARD,Textiles,Other Textile Products,Small Cap
INDIANHUME,Capital Goods,Industrial Products,Small Cap
INDIASHLTR,Financial Services,Housing Finance Company,Mid Cap
INDIGO,Services,Airline,Large Cap
INDIGOPNTS,Consumer Durables,Paints,Small Cap
INDIQUBE,Realty,miscellaneous,Small Cap
INDNIPPON,Automobile and Auto Components,Auto Components & Equipments,Small Cap
INDOAMIN,Chemicals,Specialty Chemicals,Small Cap
INDOBORAX,Chemicals,Commodity Chemicals,Small Cap
INDOCO,Healthcare,Pharmaceuticals,Small Cap
INDOFARM,Automobile and Auto Components,automobiles - tractors,Small Cap
INDORAMA,Textiles,Other Textile Products,Small Cap
INDOSTAR,Financial Services,Non Banking Financial Company (NBFC),Small Cap
INDOTECH,Capital Goods,Heavy Electrical Equipment,Small Cap
INDOTHAI,Financial Services,Stockbroking & Allied,Small Cap
INDOUS,FMCG,Other Agricultural Products,Small Cap
INDRAMEDCO,Healthcare,Hospital,Small Cap
INDSWFTLAB,Healthcare,Pharmaceuticals,Small Cap
INDTERRAIN,Textiles,Garments & Apparels,Small Cap
INDUSINDBK,Financial Services,Private Sector Bank,Large Cap
INDUSTOWER,Telecommunication,Telecom - Infrastructure,Large Cap
INFOBEAN,Information Technology,Computers - Software & Consulting,Small Cap
INFY,Information Technology,Computers - Software & Consulting,Mid Cap
INGERRAND,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
INNOVACAP,Healthcare,Pharmaceuticals,Small Cap
INNOVANA,Information Technology,Computers - Software & Consulting,Small Cap
INOXGREEN,Utilities,Other Utilities,Mid Cap
INOXINDIA,Capital Goods,Other Industrial Products,Mid Cap
INOXWIND,Capital Goods,Heavy Electrical Equipment,Mid Cap
INSECTICID,Chemicals,Pesticides & Agrochemicals,Small Cap
INSPIRISYS,Information Technology,IT Enabled Services,Small Cap
INTELLECT,Information Technology,Computers - Software & Consulting,Mid Cap
INTENTECH,Information Technology,Software Products,Small Cap
INTERARCH,Construction,Civil Construction,Small Cap
INTLCONV,Capital Goods,Industrial Products,Small Cap
IOB,Financial Services,Public Sector Bank,Large Cap
IOC,"Oil, Gas & Consumable Fuels",Refineries & Marketing,Large Cap
IOLCP,Healthcare,Pharmaceuticals,Small Cap
IONEXCHANG,Utilities,Water Supply & Management,Small Cap
IPCALAB,Healthcare,Pharmaceuticals,Large Cap
IPL,Chemicals,Pesticides & Agrochemicals,Small Cap
IRB,Construction,Civil Construction,Large Cap
IRCON,Construction,Civil Construction,Mid Cap
IRCTC,Consumer Services,"Tour, Travel Related Services",Large Cap
IREDA,Financial Services,Financial Institution,Large Cap
IRFC,Financial Services,Financial Institution,Large Cap
IRIS,Information Technology,Software Products,Small Cap
IRISDOREME,Textiles,Garments & Apparels,Small Cap
IRMENERGY,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,Small Cap
ISFT,Consumer Services,E-Retail/ E-Commerce,Small Cap
ISGEC,Construction,Civil Construction,Mid Cap
ISHANCH,Chemicals,Dyes And Pigments,Small Cap
ITC,FMCG,Diversified FMCG,Large Cap
ITCHOTELS,Services,Hotels & Resorts,Large Cap
ITDC,Consumer Services,Hotels & Resorts,Small Cap
ITI,Telecommunication,Telecom - Equipment & Accessories,Large Cap
IVALUE,Information Technology,computers - hardware,Small Cap
IVP,Chemicals,Commodity Chemicals,Small Cap
IXIGO,Consumer Services,"Tour, Travel Related Services",Mid Cap
IZMO,Information Technology,IT Enabled Services,Small Cap
J&KBANK,Financial Services,Private Sector Bank,Mid Cap
JAGRAN,"Media, Entertainment & Publication",Print Media,Small Cap
JAGSNPHARM,Healthcare,Pharmaceuticals,Small Cap
JAIBALAJI,Metals & Mining,Iron & Steel,Mid Cap
JAICORPLTD,Capital Goods,Plastic Products - Industrial,Small Cap
JAINREC,Metals & Mining,mining / minerals / metals,Mid Cap
JAIPURKURT,Textiles,Garments & Apparels,Small Cap
JAMNAAUTO,Automobile and Auto Components,Auto Components & Equipments,Small Cap
JARO,Services,miscellaneous,Mid Cap
JASH,Construction,Civil Construction,Small Cap
JAYAGROGN,Chemicals,Specialty Chemicals,Small Cap
JAYBARMARU,Automobile and Auto Components,Auto Components & Equipments,Small Cap
JAYKAY,aerospace & defence,engineering,Small Cap
JAYNECOIND,Capital Goods,Iron & Steel Products,Mid Cap
JAYSREETEA,FMCG,Tea & Coffee,Small Cap
JBCHEPHARM,Healthcare,Pharmaceuticals,Large Cap
JBMA,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
JGCHEM,Chemicals,Commodity Chemicals,Small Cap
JINDALPHOT,FMCG,Household Products,Small Cap
JINDALPOLY,Capital Goods,Packaging,Small Cap
JINDALSAW,Capital Goods,Iron & Steel Products,Mid Cap
JINDALSTEL,Metals & Mining,Iron & Steel,Large Cap
JINDRILL,"Oil, Gas & Consumable Fuels",Offshore Support Solution Drilling,Small Cap
JINDWORLD,Textiles,Other Textile Products,Small Cap
JIOFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
JISLJALEQS,Capital Goods,Plastic Products - Industrial,Small Cap
JITFINFRA,Utilities,Water Supply & Management,Small Cap
JKCEMENT,Construction Materials,Cement & Cement Products,Large Cap
JKIL,Construction,Civil Construction,Small Cap
JKLAKSHMI,Construction Materials,Cement & Cement Products,Mid Cap
JKPAPER,Forest Materials,Paper & Paper Products,Mid Cap
JKTYRE,Automobile and Auto Components,Tyres & Rubber Products,Mid Cap
JLHL,Healthcare,Hospital,Mid Cap
